V_SD,I_SD,RLS1,RLS2,DOE
0,0,0.002832114,0.000294356,3.31E-05
0,1.00E-06,0.008565959,0.000884189,0.000166779
0,1.00E-05,0.00529722,0.002378438,0.000444591
0,0.0001,0.040231699,0.029640383,0.006328819
0,0.001,0.433627091,0.401512999,0.055034463
1.00E-06,0,0.031238917,0.009753585,0.002576083
1.00E-06,1.00E-06,0.024420552,0.002724949,0.002021924
1.00E-06,1.00E-05,0.013388149,0.00634611,0.00296884
1.00E-06,0.0001,0.045783661,0.028949187,0.018133705
1.00E-06,0.001,0.287902939,0.210880529,0.108856613
1.00E-05,0,0.086718194,0.161024902,0.024428664
1.00E-05,1.00E-06,0.19887997,0.096508092,0.027691214
1.00E-05,1.00E-05,0.032711694,0.038506823,0.027349286
1.00E-05,0.0001,0.105378828,0.063728345,0.043255419
1.00E-05,0.001,0.347525502,0.11396978,0.058610805
0.0001,0,0.609211675,0.191872753,0.139798567
0.0001,1.00E-06,0.936508358,0.562569182,0.113278334
0.0001,1.00E-05,1.258447765,1.118164376,0.184155861
0.0001,0.0001,1.596168469,0.411375237,0.157696283
0.0001,0.001,0.748890385,0.497684643,0.188505436
0.001,0,21.27002187,21.07874283,1.1981576
0.001,1.00E-06,22.08019213,21.24911826,2.716152716
0.001,1.00E-05,22.15024799,21.5128112,2.408605013
0.001,0.0001,20.35413683,20.35944666,1.12085464
0.001,0.001,23.01791948,17.04745084,1.459045356
